client_id,epoch,batch_index,latency_seconds,payload_size_mb,edge_forward,edge_backward,server_forward,server_backward,inter_delay,grad_delay
ad61ece9,2,8,0.4936,8.5966,0.1097,0.1410,0.0721,0.1364,0.0098,0.0247
ad61ece9,1,1,0.5501,8.5963,0.1060,0.1573,0.0941,0.1555,0.0107,0.0265
ad61ece9,1,2,0.6015,8.5969,0.1199,0.1711,0.0902,0.1770,0.0113,0.0319
ad61ece9,1,3,0.6141,8.5965,0.1275,0.1793,0.0871,0.1761,0.0117,0.0324
ad61ece9,1,4,0.5745,8.5964,0.1030,0.1315,0.1214,0.1860,0.0085,0.0240
ad61ece9,2,5,0.6444,8.5964,0.1068,0.1997,0.0955,0.1886,0.0118,0.0420
ad61ece9,2,6,0.5976,8.5963,0.1385,0.1353,0.1181,0.1677,0.0146,0.0233
ad61ece9,2,7,0.5481,8.5964,0.0938,0.1613,0.0894,0.1634,0.0086,0.0316
ad61ece9,2,8,0.5740,8.5971,0.1082,0.1639,0.0754,0.1849,0.0105,0.0310
e531ccd9,1,1,1.6728,8.5964,0.1333,0.1836,0.1227,0.1973,0.9936,0.0424
741c817a,1,1,1.9691,8.5963,0.1333,0.1766,0.1035,0.1678,1.3440,0.0440
e531ccd9,1,2,0.5613,8.5972,0.1280,0.1637,0.0764,0.1489,0.0087,0.0356
741c817a,1,2,0.5977,8.5964,0.1249,0.1753,0.0929,0.1573,0.0106,0.0366
e531ccd9,1,3,0.5934,8.5964,0.1068,0.1624,0.0976,0.1703,0.0233,0.0330
741c817a,1,3,0.5793,8.5967,0.1353,0.1477,0.0941,0.1630,0.0119,0.0274
e531ccd9,1,4,0.6132,8.5963,0.1062,0.1590,0.1002,0.1681,0.0479,0.0317
741c817a,1,4,0.5850,8.5968,0.1030,0.1595,0.0954,0.1731,0.0253,0.0288
e531ccd9,2,5,0.5814,8.5966,0.1136,0.1728,0.0872,0.1663,0.0143,0.0272
741c817a,2,5,0.6227,8.5965,0.1283,0.1854,0.0888,0.1731,0.0101,0.0371
e531ccd9,2,6,0.6346,8.5965,0.1242,0.1707,0.1007,0.1858,0.0145,0.0388
741c817a,2,6,0.6055,8.5964,0.1379,0.1520,0.0936,0.1721,0.0126,0.0373
e531ccd9,2,7,0.6152,8.5964,0.1190,0.1801,0.0914,0.1737,0.0169,0.0342
741c817a,2,7,0.5830,8.5966,0.1140,0.1572,0.1146,0.1569,0.0145,0.0258
e531ccd9,2,8,0.5481,8.5965,0.1258,0.1500,0.0971,0.1379,0.0121,0.0251
741c817a,2,8,0.5112,8.5969,0.0911,0.1395,0.0950,0.1447,0.0223,0.0186
e531ccd9,1,1,0.6515,8.5966,0.1168,0.1863,0.0855,0.1585,0.0690,0.0354
741c817a,1,1,0.9077,8.5963,0.1093,0.1527,0.1027,0.1820,0.3282,0.0328
e531ccd9,1,2,0.5936,8.5972,0.1238,0.1724,0.0925,0.1638,0.0087,0.0324
741c817a,1,2,0.6085,8.5964,0.1168,0.1660,0.1034,0.1664,0.0267,0.0291
e531ccd9,1,3,0.6035,8.5964,0.1155,0.1592,0.1070,0.1791,0.0128,0.0299
741c817a,1,3,0.6454,8.5965,0.1149,0.1603,0.0980,0.1894,0.0466,0.0362
e531ccd9,1,4,0.5459,8.5966,0.1165,0.1302,0.0936,0.1590,0.0205,0.0262
741c817a,1,4,0.5182,8.5964,0.1018,0.1471,0.0835,0.1428,0.0095,0.0335
e531ccd9,2,5,0.6317,8.5963,0.1022,0.1871,0.0918,0.1765,0.0428,0.0313
741c817a,2,5,0.7373,8.5967,0.1083,0.2027,0.1169,0.2250,0.0436,0.0409
e531ccd9,2,6,0.6895,8.5964,0.1267,0.1839,0.1043,0.2082,0.0337,0.0327
741c817a,2,6,0.6355,8.5968,0.1350,0.1890,0.0989,0.1651,0.0135,0.0339
e531ccd9,2,7,0.7016,8.5964,0.1196,0.2375,0.1128,0.1749,0.0107,0.0462
